Estación:       P. ALLENDE,  GTO
Operada por:    SMN EMAS
Longitud:       100°49'29"  Latitud: 20°50'54"  Altitud: 1915

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RAD-SOL
31/01/2019 23:00       234       204      0.27      2.20      22.4        17     816.0       0.0     241.3
01/02/2019 00:00         0       204      0.00      0.00      20.6        18     815.3       0.0      25.8
01/02/2019 01:00         0       204      0.00      0.00      18.0        27     816.8       0.0       0.0
01/02/2019 02:00         0       204      0.00      0.00      16.4        38     817.4       0.0       0.0
01/02/2019 03:00         0       204      0.00      0.00      15.2        39     818.1       0.0       0.0
01/02/2019 04:00         0       204      0.00      0.00      14.3        41     818.6       0.0       0.0
01/02/2019 05:00         0       204      0.00      0.00      13.1        54     819.0       0.0       0.0
01/02/2019 06:00         0       204      0.00      0.00      12.9        57     818.8       0.0       0.0
01/02/2019 07:00         0       204      0.00      0.00      11.4        60     818.7       0.0       0.0
01/02/2019 08:00         0       204      0.00      0.00                  68     818.4       0.0       0.0
